participantId,A1_energibalance,A2_kompensation,A3_konsekvens_tee,A4_kim_kobling,B1_loesning_ei,B2_loesning_model,total,total_norm,group,completed
47e8e70c-8048-411a-b9ee-569250879a17,0,1,0,1,1,0,3,0.5,control,True
b1e2ecfd-57e7-4909-a064-be9432186272,1,0,0,1,0,0,2,0.3333333333333333,intervention,True
4f0101b1-c1e8-40f1-ac5b-17b4a067b71a,0,1,0,1,0,0,2,0.3333333333333333,control,True
9dfb4037-63f6-4317-a85b-d00aee4bfe31,1,1,0,0,1,0,3,0.5,intervention,True
c3d88702-28e3-4076-976f-320086107639,1,1,1,0,0,0,3,0.5,intervention,True
f10630c4-7386-459c-b6af-bb6fecba9178,0,1,1,1,1,0,4,0.6666666666666666,intervention,True
1aa78112-6b72-4c1d-974b-8639a78529b0,1,0,1,1,1,0,4,0.6666666666666666,intervention,True
14c6375d-73c2-4164-81f9-e52df12ca18f,1,0,0,1,1,0,3,0.5,intervention,True
90024121-078e-4d48-8858-5fdc80d47355,0,1,0,1,1,1,4,0.6666666666666666,intervention,True
b4e5ac23-6903-47bd-afa9-5e228f048970,1,1,0,1,1,0,4,0.6666666666666666,control,True
0b9fe50b-9538-4a87-bf0a-894544b74994,0,0,0,0,0,0,0,0.0,control,True
97c2f522-dba8-4a7a-887e-c10c23be4e42,1,1,1,1,1,1,6,1.0,control,True
9c97035b-2dee-4dd9-b4c9-fb48a47d8f43,1,0,1,1,1,0,4,0.6666666666666666,control,True
f9ad8823-5a44-49bd-a9f4-a9e8ac92c510,1,1,1,1,1,0,5,0.8333333333333334,intervention,True
6a3f5f0b-640d-4755-b3e9-82310fb48c2f,1,0,0,1,1,0,3,0.5,intervention,True
13a9c2dc-5db0-45f4-9f85-f92af4a997a6,1,0,1,1,1,1,5,0.8333333333333334,intervention,True
5c05000c-3168-4b27-9e5b-23bbf97fcba7,0,1,0,1,1,0,3,0.5,intervention,True
64d0b888-9194-48ad-8769-79f9391482c0,0,1,1,0,1,1,4,0.6666666666666666,intervention,True
d05ca7fe-c222-4357-9425-c973c7e0f262,0,1,1,1,0,0,3,0.5,control,True
faf9ef5a-4f56-432e-8e0b-941e6a77c934,0,1,0,1,1,0,3,0.5,intervention,True
99ea2c3d-d249-4b3f-9ad6-32ba61ca5c51,1,1,0,1,1,1,5,0.8333333333333334,control,True
f218b040-ee23-4538-825f-ce9cca2b186f,0,1,0,1,1,1,4,0.6666666666666666,control,True
11c20b09-dba5-4dd9-b778-4ea060863531,1,1,1,1,1,1,6,1.0,control,True
4c279909-68f6-44d0-95b4-e36966918fff,0,0,0,1,1,0,2,0.3333333333333333,control,True
05841b1c-e405-4ad4-b74f-c9f0ced6d735,1,0,0,1,1,0,3,0.5,intervention,True
e457e097-a7c3-4cd1-83e7-984dde7b1623,0,0,0,1,0,0,1,0.16666666666666666,intervention,True
ba5f4289-e2af-4e7c-a02f-2f5aba673d7d,0,0,0,1,0,0,1,0.16666666666666666,intervention,True
